Fecha,P
2017-10-22,12
2017-10-29,10
2017-11-05,14
2017-11-12,14
2017-11-19,10
2017-11-26,10
2017-12-03,14
2017-12-10,12
2017-12-17,10
2017-12-24,11
2017-12-31,10
2018-01-07,7
2018-01-14,8
2018-01-21,17
2018-01-28,16
2018-02-04,21
2018-02-11,12
2018-02-18,12
2018-02-25,10
2018-03-04,12
2018-03-11,21
2018-03-18,11
2018-03-25,10
2018-04-01,3
2018-04-08,10
2018-04-15,12
2018-04-22,12
2018-04-29,13
2018-05-06,12
2018-05-13,11
2018-05-20,11
2018-05-27,12
2018-06-03,13
2018-06-10,13
2018-06-17,14
2018-06-24,15
2018-07-01,14
2018-07-08,9
2018-07-15,7
2018-07-22,12
2018-07-29,12
2018-08-05,13
2018-08-12,11
2018-08-19,13
2018-08-26,12
2018-09-02,16
2018-09-09,14
2018-09-16,13
2018-09-23,12
2018-09-30,14
2018-10-07,9
2018-10-14,15
2018-10-21,11
2018-10-28,12
2018-11-04,15
2018-11-11,15
2018-11-18,12
2018-11-25,9
2018-12-02,18
2018-12-09,12
2018-12-16,7
2018-12-23,15
2018-12-30,6
2019-01-06,2
2019-01-13,10
2019-01-20,15
2019-01-27,15
2019-02-03,18
2019-02-10,20
2019-02-17,11
2019-02-24,13
2019-03-03,11
2019-03-10,13
2019-03-17,12
2019-03-24,13
2019-03-31,11
2019-04-07,21
2019-04-14,10
2019-04-21,2
2019-04-28,17
2019-05-05,12
2019-05-12,18
2019-05-19,15
2019-05-26,11
2019-06-02,13
2019-06-09,15
2019-06-16,11
2019-06-23,15
2019-06-30,14
2019-07-07,11
2019-07-14,6
2019-07-21,14
2019-07-28,17
2019-08-04,19
2019-08-11,15
2019-08-18,14
2019-08-25,11
2019-09-01,17
2019-09-08,12
2019-09-15,9
2019-09-22,14
2019-09-29,16
2019-10-06,14
2019-10-13,10
2019-10-20,17
2019-10-27,13
2019-11-03,21
2019-11-10,15
2019-11-17,13
2019-11-24,15
2019-12-01,15
2019-12-08,14
2019-12-15,11
2019-12-22,17
2019-12-29,6
